,TransitionGroupID,Model_Code,annual_probability,BpS_Name,VALUE,ACRES,REL_PERCENT,annual_dist_acres
1,All Fire,13030_61_63_64_65_66,0.1843418,Northeastern Interior Dry-Mesic Oak Forest,1870,350800,20.5,64667.10344
4,All Fire,13180_57_59_61,0.0129224,Southern and Central Appalachian Cove Forest,1874,188784,11.1,2439.542362
5,All Fire,13200_48_57_61,0.048844,Central and Southern Appalachian Montane Oak Forest,1875,126209,7.4,6164.552396
8,All Fire,13500_61,0.001283,Central and Southern Appalachian Spruce-Fir Forest,1878,454640,26.6,583.30312
10,All Fire,13690_60_61_63_64_65_66,0.072849,Central Appalachian Dry Oak-Pine Forest,1882,100688,5.9,7335.020112
11,All Fire,13700_53_61_62,0.0018756,Appalachian (Hemlock-)Northern Hardwood Forest,1883,298073,17.5,559.0657188
16,All Fire,14720_61_62_63,0.0060214,Central Interior and Appalachian Riparian Systems,1888,107942,6.3,649.9619588
18,All Transitions,13030_61_63_64_65_66,0.1940468,Northeastern Interior Dry-Mesic Oak Forest,1870,350800,20.5,68071.61744
21,All Transitions,13180_57_59_61,0.0308342,Southern and Central Appalachian Cove Forest,1874,188784,11.1,5821.003613
22,All Transitions,13200_48_57_61,0.0691116,Central and Southern Appalachian Montane Oak Forest,1875,126209,7.4,8722.505924
25,All Transitions,13500_61,0.0090722,Central and Southern Appalachian Spruce-Fir Forest,1878,454640,26.6,4124.585008
27,All Transitions,13690_60_61_63_64_65_66,0.1013044,Central Appalachian Dry Oak-Pine Forest,1882,100688,5.9,10200.13743
28,All Transitions,13700_53_61_62,0.015701,Appalachian (Hemlock-)Northern Hardwood Forest,1883,298073,17.5,4680.044173
33,All Transitions,14720_61_62_63,0.024128,Central Interior and Appalachian Riparian Systems,1888,107942,6.3,2604.424576
35,Alternative Succession,13030_61_63_64_65_66,0.0058588,Northeastern Interior Dry-Mesic Oak Forest,1870,350800,20.5,2055.26704
38,Alternative Succession,13180_57_59_61,0.007645,Southern and Central Appalachian Cove Forest,1874,188784,11.1,1443.25368
39,Alternative Succession,13200_48_57_61,0.0145444,Central and Southern Appalachian Montane Oak Forest,1875,126209,7.4,1835.63418
42,Alternative Succession,13690_60_61_63_64_65_66,0.004916,Central Appalachian Dry Oak-Pine Forest,1882,100688,5.9,494.982208
43,Alternative Succession,13700_53_61_62,0.0064364,Appalachian (Hemlock-)Northern Hardwood Forest,1883,298073,17.5,1918.517057
50,Insect or Disease,13180_57_59_61,0.0038112,Southern and Central Appalachian Cove Forest,1874,188784,11.1,719.4935808
51,Insect or Disease,13200_48_57_61,0.0020006,Central and Southern Appalachian Montane Oak Forest,1875,126209,7.4,252.4937254
53,Insect or Disease,13500_61,0.0039008,Central and Southern Appalachian Spruce-Fir Forest,1878,454640,26.6,1773.459712
58,Mixed Fire,13030_61_63_64_65_66,0.0422056,Northeastern Interior Dry-Mesic Oak Forest,1870,350800,20.5,14805.72448
61,Mixed Fire,13180_57_59_61,0.0019828,Southern and Central Appalachian Cove Forest,1874,188784,11.1,374.3209152
62,Mixed Fire,13200_48_57_61,0.010776,Central and Southern Appalachian Montane Oak Forest,1875,126209,7.4,1360.028184
65,Mixed Fire,13500_61,7.72E-05,Central and Southern Appalachian Spruce-Fir Forest,1878,454640,26.6,35.098208
67,Mixed Fire,13690_60_61_63_64_65_66,0.0021676,Central Appalachian Dry Oak-Pine Forest,1882,100688,5.9,218.2513088
68,Mixed Fire,13700_53_61_62,0.0008802,Appalachian (Hemlock-)Northern Hardwood Forest,1883,298073,17.5,262.3638546
73,Non Fire Disturbances,13030_61_63_64_65_66,0.0038462,Northeastern Interior Dry-Mesic Oak Forest,1870,350800,20.5,1349.24696
76,Non Fire Disturbances,13180_57_59_61,0.0102668,Southern and Central Appalachian Cove Forest,1874,188784,11.1,1938.207571
77,Non Fire Disturbances,13200_48_57_61,0.0057232,Central and Southern Appalachian Montane Oak Forest,1875,126209,7.4,722.3193488
80,Non Fire Disturbances,13500_61,0.0077892,Central and Southern Appalachian Spruce-Fir Forest,1878,454640,26.6,3541.281888
82,Non Fire Disturbances,13690_60_61_63_64_65_66,0.0235394,Central Appalachian Dry Oak-Pine Forest,1882,100688,5.9,2370.135107
83,Non Fire Disturbances,13700_53_61_62,0.007389,Appalachian (Hemlock-)Northern Hardwood Forest,1883,298073,17.5,2202.461397
87,Non Fire Disturbances,14720_61_62_63,0.0181066,Central Interior and Appalachian Riparian Systems,1888,107942,6.3,1954.462617
89,Non Replacement Fire,13030_61_63_64_65_66,0.1578896,Northeastern Interior Dry-Mesic Oak Forest,1870,350800,20.5,55387.67168
92,Non Replacement Fire,13180_57_59_61,0.0119342,Southern and Central Appalachian Cove Forest,1874,188784,11.1,2252.986013
93,Non Replacement Fire,13200_48_57_61,0.0418586,Central and Southern Appalachian Montane Oak Forest,1875,126209,7.4,5282.932047
96,Non Replacement Fire,13500_61,7.72E-05,Central and Southern Appalachian Spruce-Fir Forest,1878,454640,26.6,35.098208
98,Non Replacement Fire,13690_60_61_63_64_65_66,0.06733,Central Appalachian Dry Oak-Pine Forest,1882,100688,5.9,6779.32304
99,Non Replacement Fire,13700_53_61_62,0.0008802,Appalachian (Hemlock-)Northern Hardwood Forest,1883,298073,17.5,262.3638546
104,Non Replacement Fire,14720_61_62_63,0.00502,Central Interior and Appalachian Riparian Systems,1888,107942,6.3,541.86884
106,Optional 1,13180_57_59_61,0.0018376,Southern and Central Appalachian Cove Forest,1874,188784,11.1,346.9094784
110,Optional 1,14720_61_62_63,0.0030236,Central Interior and Appalachian Riparian Systems,1888,107942,6.3,326.3734312
